IATA,ICAO,NAME
A2,CIU,Cielos Airlines
A3,AEE,Aegean Airlines
A4,SWD,Southern Winds Airlines
A5,HOP,Air France Hop
A6,LPV,Air Alps Aviation
A7,MPD,Air Plus Comet
A8,AMF,Ameriflight
A9,TGZ,Georgian Airways
AA,AAL,American Airlines
AB,BER,Air Berlin
AC,ACA,Air Canada
AD,AZU,Azul Linhas Aéreas Brasileiras
AE,MDA,Mandarin Airlines
AF,AFR,Air France
AG,ABR,ASL Airlines Ireland
AH,DAH,Air Algérie
AI,AIC,Air India
AJ,NIG,Aero Contractors
AK,AXM,AirAsia
AL,TXC,Transaviaexport
AL,SYX,Skywalk Airlines
AM,AMX,Aeroméxico
AN,WSN,Advanced Air
AO,AUZ,Australian Airlines
AP,ADH,Air One
AP,AIB,Airbus Industrie
AR,ARG,Aerolíneas Argentinas
AS,ASA,Alaska Airlines
AT,RAM,Royal Air Maroc
AU,AUT,Austral Lineas Aereas
AV,AVA,Avianca
AW,SCH,CHC Airways
AW,DIR,Dirgantara Air Service
AX,LOF,Trans States Airlines
AY,FIN,Finnair
B2,BRU,Belavia Belarusian Airlines
B3,BLV,Bellview Airlines
B4,GSM,Flyglobespan
B4,BCF,BACH Flugbetriebsges
B4,BKA,Bankair
B5,EXZ,East African Safari Air Express
B6,JBU,JetBlue
B7,UIA,Uni Airways
B8,ERT,Eritrean Airlines
B9,BGD,Air Bangladesh
BA,BAW,British Airways
BB,SBS,Seaborne Airlines
BC,SKY,Skymark Airlines
BE,BEE,Flybe
BF,RSR,Aero-Service
BF,BBD,Bluebird Cargo
BG,BBC,Biman Bangladesh Airlines
BI,RBA,Royal Brunei Airlines
BJ,LBT,Nouvel Air Tunisie
BK,PDC,Potomac Air
BL,PIC,Jetstar Pacific
BM,BMR,bmi regional
BN,HZA,Horizon Airlines
BN,BNF,Braniff International Airways
BO,BOU,Bouraq Indonesia Airlines
BP,BOT,Air Botswana
BQ,BKV,Bukovyna Airlines
BR,EVA,EVA Air
BS,BIH,British International Helicopters
BT,BTI,airBaltic
BU,CNO,SAS Braathens
BV,BPA,Blue Panorama Airlines
BW,BWA,Caribbean Airlines
BX,ABL,Air Busan
BY,TOM,TUI Airways
BZ,BDA,Blue Dart Aviation
C0,CLW,Centralwings
C4,IMX,Zimex Aviation
C5,UCA,CommutAir
C6,CJA,CanJet
C7,RLE,Rico Linhas Aéreas
C9,RUS,Cirrus Airlines
CA,CCA,Air China
CC,ABD,Air Atlanta Icelandic
CE,NTW,Nationwide Airlines
CF,CYZ,China Postal Airlines
CG,TOK,Airlines PNG
CH,BMJ,Bemidji Airlines
CI,CAL,China Airlines
CJ,CBF,China Northern Airlines
CJ,CFE,Cityflyer Express
CK,CKK,China Cargo Airlines
CL,CLH,Lufthansa CityLine
CM,CMP,Copa Airlines
CN,GDC,Grand China Air
CO,COA,Continental Airlines
CP,CPZ,Compass Airlines
CQ,EXL,Sunshine Express Airlines
CS,CMI,Continental Micronesia
CT,CYL,Alitalia CityLiner
CU,CUB,Cubana de Aviación
CV,CLX,Cargolux
CW,CWM,Air Marshall Islands
CX,CPA,Cathay Pacific
CY,CYP,Cyprus Airways
D3,DAO,Daallo Airlines
D4,LID,Alidaunia
D5,DAU,Dauair
D6,ILN,Interair South Africa
D7,XFA,FlyAsianXpress
D7,RDN,Dinar
D8,IBK,Norwegian Air International
D9,DNV,Aeroflot-Don
DA,GRG,Air Georgia
DB,BZH,Brit Air
DC,GAO,Golden Air
DD,NOK,Nok Air
DE,CFG,condor
DG,SRQ,Tigerair Philippines
DH,NAN,Norwegian Air Norway
DI,BAG,dba
DJ,PLB,Polynesian Blue
DJ,PBN,Pacific Blue
DK,VKG,Thomas Cook Airlines Scandinavia
DL,DAL,Delta Air Lines
DP,FCA,First Choice Airways
DR,BIE,Air Méditerranée
DS,EZS,easyJet Switzerland
DT,DTA,TAAG Angola Airlines
DU,NLH,Norwegian Long Haul
DV,ACK,Nantucket Airlines
DW,UCR,Aero-Charter Ukraine
DX,DTR,DAT Danish Air Transport
